x,y,z,u,v,w
16.54599,124.1275,379.2988,0.1395007,-0.0757935,-0.008574483333333334
16.83366,124.5803,379.974,0.6871346666666667,-0.373334,-0.0422351
17.06038,124.9524,380.3724,0.589284,-0.3201696666666667,-0.036220633333333335
16.08951,123.0786,381.1405,0.11530870000000001,-0.0626495,-0.00708751
16.67116,124.1494,381.1382,0.783154,-0.4255030000000001,-0.04813696666666667
16.97141,124.7855,380.4,0.7062193333333333,-0.383703,-0.043408133333333335
16.7177,124.1512,381.8761,0.25835779999999997,-0.14037093333333334,-0.0158801
16.74415,124.4412,379.7456,0.5766103333333333,-0.3132838,-0.03544166666666667
17.11526,125.1213,379.7743,0.31505753333333336,-0.171177,-0.019365176666666668
16.12622,123.1561,381.0551,0.21518790000000002,-0.11691586666666669,-0.013226640000000001
17.32274,125.4875,379.9099,0.0,0.0,0.0
16.97289,124.6983,381.1951,0.5127726666666667,-0.2785996,-0.03151785
17.3081,125.3796,380.6254,0.13680426666666667,-0.07432846666666666,-0.008408746666666666
17.21291,125.127,381.311,0.026160440000000004,-0.014213486666666665,-0.0016079653333333334
17.30863,125.3549,380.8528,0.07265313333333334,-0.03947386666666666,-0.004465663333333333
17.08265,124.987,380.4286,0.568591,-0.3089268666666667,-0.034948766666666665
16.33705,123.7045,379.6356,0.24973930000000003,-0.13568833333333333,-0.01535036
16.76809,124.5557,379.1258,0.020284086666666666,-0.011020746666666668,-0.0012467720000000002
16.37519,123.4956,382.1044,0.05253943333333334,-0.028545713333333333,-0.0032293636666666666
16.63975,124.0916,381.1381,0.7846433333333334,-0.42631233333333335,-0.04822853333333334
17.14447,125.0689,380.7119,0.452618,-0.24591643333333335,-0.027820416666666667
16.7132,124.2716,380.7412,0.8683056666666666,-0.4717676666666667,-0.05337086666666667
16.54383,123.9277,381.0252,0.8093076666666666,-0.439713,-0.049744533333333334
17.17166,125.1222,380.6838,0.4031223333333333,-0.2190243666666667,-0.024778130000000002
16.3476,123.724,379.6347,0.2700542,-0.14672580000000002,-0.016599023333333334
16.7184,124.3519,380.1165,0.77405,-0.4205566666666667,-0.0475774
16.17263,123.2157,381.2813,0.3163071,-0.17185593333333335,-0.019441983333333336
17.08328,125.0971,379.4664,0.16590156666666667,-0.09013763333333333,-0.01019723
16.48692,123.8069,381.1669,0.7470626666666668,-0.405894,-0.045918600000000004
17.19289,125.1898,380.43,0.385834,-0.20963123333333333,-0.023715486666666667
16.83498,124.6082,379.7465,0.5603723333333334,-0.3044613666666667,-0.03444356666666667
17.31514,125.4277,380.315,0.11018886666666668,-0.059867800000000006,-0.006772816666666667
16.40558,123.8086,379.8319,0.47959100000000005,-0.2605712666666667,-0.029478313333333336
17.33934,125.4141,380.8268,0.0052523633333333335,-0.002853712333333333,-0.0003228392
16.18224,123.2075,381.5083,0.29428693333333333,-0.15989193333333335,-0.0180885
16.87786,124.4371,381.9577,0.005453416666666666,-0.00296295,-0.00033519733333333334
17.07961,124.8696,381.4189,0.18828963333333334,-0.1023015,-0.011573323333333335
16.22582,123.3297,381.1392,0.43328566666666674,-0.23541279999999998,-0.026632143333333334
16.85199,124.4149,381.7335,0.26728603333333334,-0.1452218,-0.01642887666666667
16.40931,123.6354,381.4231,0.5973706666666666,-0.3245633,-0.036717700000000006
17.17341,125.183,380.1719,0.3788163333333333,-0.20581846666666667,-0.02328415
16.9653,124.6745,381.2815,0.4706403333333333,-0.2557082666666667,-0.02892816
16.64059,123.9788,382.1482,0.017414313333333334,-0.009461543333333333,-0.0010703800000000001
16.69144,124.1514,381.4519,0.6140326666666667,-0.333616,-0.037741833333333336
16.31003,123.5877,380.2297,0.5186010000000001,-0.28176623333333334,-0.03187608333333334
16.41045,123.7206,380.6841,0.718462,-0.3903546666666667,-0.04416063333333334
