Points:0,Points:1,Points:2,U:0,U:1,U:2,wss,p
17.21369,125.1542,381.0833,0.05462611,-0.0296804,-0.0033582,0.0,185.00477979225
17.27183,125.1761,381.0537,0.04604892000000001,-0.02099961,-0.005655732,0.0,184.15391645882
17.25246,125.1293,381.0636,0.0596417,-0.0286082,-0.007299572,0.0,184.62894404531497
17.24588,125.2153,381.067,0.03476934,-0.018891480000000002,-0.002137483,0.0,183.731684528865
17.16425,125.0604,381.1085,0.07832164,-0.04255507,-0.004814908,0.0,185.5207373448
16.12121,123.0806,381.6389,0.03769336,-0.02048021,-0.002317241,0.0,204.70049277369998
16.13592,123.1085,381.6314,0.04779702,-0.0259699,-0.002938374,0.0,205.20858430671498
16.10807,123.0557,381.6456,0.02832586,-0.0153905,-0.001741363,0.0,204.8951434266
17.19922,125.1267,381.0907,0.06175333,-0.03355289,-0.003796353,0.0,185.180098702225
17.20817,125.1437,381.0861,0.05732917,-0.03114908,-0.003524373,0.0,185.035043969105
17.21445,125.1416,381.0829,0.05772427,-0.03096403,-0.003936144,0.0,185.05104265290498
16.17541,123.0413,381.6113,0.03498497,-0.02205863,-0.006879674999999999,0.0,204.69182681997498
16.13509,123.0502,381.6318,0.030869499999999998,-0.01838947,-0.0037280910000000002,0.0,204.363853802075
17.14662,125.0269,381.1174,0.08657477,-0.04703931,-0.005322279,0.0,185.45674260959998
17.21108,125.0445,381.0847,0.08163806,-0.040516819999999995,-0.008781411,0.0,185.18396505081
17.17192,125.034,381.1046,0.08461637,-0.044320120000000005,-0.006815004,0.0,185.32781988264497
17.18757,125.0,381.0966,0.09253219,-0.046626219999999996,-0.008924048,0.0,185.657126124195
17.22577,125.0891,381.0772,0.07023787,-0.03476687,-0.007566975,0.0,184.942518247795
16.15864,123.1517,381.6198,0.061352739999999996,-0.03333523,-0.0037717260000000004,0.0,205.264579700015
16.19092,123.2129,381.6034,0.07926452,-0.04306737,-0.004872873,0.0,205.202984767385
16.17906,123.0694,381.6095,0.043433650000000004,-0.026195490000000002,-0.006695743,0.0,205.09779342139998
16.18239,123.1359,381.6078,0.061735559999999995,-0.0340877,-0.005570899000000001,0.0,205.42763295241
16.20813,123.0932,381.5947,0.054612,-0.03159421,-0.008245683,0.0,204.72489076649498
16.19522,123.1609,381.6013,0.06897413000000001,-0.037705169999999996,-0.005956483,0.0,205.14952249901998
16.22853,123.1447,381.5843,0.07017248999999999,-0.03862351,-0.008752792,0.0,204.675294846715
16.1651,123.1388,381.6166,0.059712180000000004,-0.03275359,-0.004441339999999999,0.0,205.195252070215
16.20942,123.248,381.594,0.08866816,-0.04817672,-0.005450971999999999,0.0,204.92660750474
17.24738,125.1088,381.0662,0.06478446,-0.03098164,-0.008018325,0.0,184.63867657795998
17.11573,124.9683,381.1331,0.1000787,-0.054376480000000005,-0.006152446000000001,0.0,185.9953649642
17.15528,124.9533,381.113,0.1029772,-0.053406659999999995,-0.008680309,0.0,185.96576739916998
17.0885,124.9166,381.147,0.11192629999999999,-0.060813740000000005,-0.006880792,0.0,187.24512881371
17.04273,124.8297,381.1703,0.1295523,-0.0703906,-0.007964369,0.0,187.92880590142997
17.03212,124.8096,381.1757,0.1333375,-0.07244722,-0.008197066,0.0,188.16718629004998
17.02261,124.7915,381.1805,0.1363954,-0.07410869,-0.008385053,0.0,188.33170608845998
17.04263,124.7995,381.1703,0.1352521,-0.0727738,-0.008929835,0.0,188.23811378822998
17.06147,124.7986,381.1607,0.1355922,-0.0719354,-0.009849445,0.0,187.89480869835498
16.21804,123.2644,381.5896,0.09409877,-0.05112738,-0.005784823999999999,0.0,205.129657466635
16.26325,123.2233,381.5666,0.09202678,-0.050200709999999996,-0.009540052,0.0,204.984336088785
16.27902,123.2804,381.5586,0.1064142,-0.05715795,-0.009161012,0.0,204.685693991185
16.22661,123.2242,381.5853,0.08627536,-0.0470231,-0.007363613,0.0,205.0417980281
17.11293,124.8078,381.1346,0.1342777,-0.06846961,-0.01217268,0.0,187.39125012575
17.14693,124.8732,381.1173,0.1216431,-0.06124416,-0.012156370000000001,0.0,186.76543494444
16.28285,123.3874,381.5567,0.1246167,-0.06770891,-0.007660948,0.0,204.81928300091496
16.98056,124.7117,381.2019,0.149337,-0.08114039,-0.009180657,0.0,189.10910879877497
16.28469,123.3909,381.5558,0.12550150000000002,-0.06818967,-0.007715344,0.0,204.785952409665
16.29639,123.4131,381.5498,0.1299799,-0.07062294,-0.007990656,0.0,204.68102770840997
16.29293,123.376,381.5515,0.12433350000000001,-0.06735242999999999,-0.008446425,0.0,204.7244907994
16.28955,123.3882,381.5533,0.12575799999999998,-0.06824567,-0.00805383,0.0,204.756621489365
16.30319,123.4049,381.5463,0.12987869999999999,-0.07034275,-0.008505816000000001,0.0,204.653163334125
16.35127,123.5173,381.5219,0.15037219999999998,-0.0817028,-0.009244292,0.0,204.16560344532
16.85382,124.4711,381.2663,0.18286760000000002,-0.09935882,-0.01124199,0.0,192.65201732628498
16.89933,124.4661,381.2432,0.18479089999999998,-0.09815716000000001,-0.01338862,0.0,192.26631572434
16.88135,124.5234,381.2523,0.1765615,-0.09593245,-0.01085431,0.0,191.822752215985
16.90371,124.5658,381.241,0.17140229999999998,-0.09312925,-0.01053714,0.0,191.07841345218998
16.93807,124.5604,381.2235,0.17302389999999998,-0.09239974000000001,-0.012178169999999999,0.0,191.08774601774
16.90969,124.5077,381.2379,0.1794563,-0.09579750000000001,-0.012574160000000001,0.0,191.71796083709498
16.95003,124.6537,381.2174,0.1588992,-0.0863359,-0.009768504,0.0,189.93504084994998
16.93983,124.6344,381.2226,0.1615056,-0.08775204,-0.009928734,0.0,190.18675347507
16.95311,124.6207,381.2159,0.1639425,-0.08818942,-0.01092708,0.0,190.33100827399997
16.36305,123.5396,381.5159,0.15393869999999998,-0.08364067,-0.009463552,0.0,204.08307690138497
16.41498,123.6382,381.4895,0.1688774,-0.09175737,-0.01038192,0.0,203.33673830211498
16.36284,123.5198,381.516,0.1520788,-0.08239503,-0.009790045,0.0,204.09334272349
16.38844,123.5227,381.503,0.1557328,-0.08381078,-0.01113116,0.0,203.85922865054997
16.37024,123.5101,381.5122,0.1522093,-0.08221719999999999,-0.01037515,0.0,204.03988045512497
16.37012,123.5286,381.5123,0.153867,-0.08330109999999999,-0.01003996,0.0,204.011882758475
16.35352,123.4834,381.5208,0.1466233,-0.07941957999999999,-0.009931665,0.0,204.19813410237998
17.04481,124.6939,381.1692,0.1541714,-0.07992573,-0.012774669999999998,0.0,188.65807923798
17.00557,124.6602,381.1891,0.1590219,-0.08362164999999999,-0.01226207,0.0,189.35255543726498
17.00569,124.696,381.1891,0.1527812,-0.08105765,-0.01114789,0.0,189.105375772555
16.67146,124.125,381.359,0.20372430000000002,-0.11069100000000001,-0.01252417,0.0,197.70600153870498
16.7375,124.2504,381.3255,0.1997263,-0.1085187,-0.012278389999999998,0.0,195.72083152385497
16.6867,124.1539,381.3513,0.2031337,-0.1103701,-0.012487870000000002,0.0,197.29510200977498
16.79405,124.1814,381.2967,0.2080206,-0.1091648,-0.01692968,0.0,195.72416458297997
16.79711,124.3635,381.2952,0.19367349999999997,-0.1052301,-0.01190629,0.0,194.252685640475
16.79703,124.3633,381.2952,0.19368680000000002,-0.1052373,-0.01190711,0.0,194.25481879831497
16.79697,124.3632,381.2953,0.1936936,-0.105241,-0.01190753,0.0,194.25628534432997
16.79714,124.3632,381.2952,0.1937004,-0.1052379,-0.011914890000000001,0.0,194.254285508855
16.91359,124.4163,381.2359,0.1919532,-0.1001686,-0.015604100000000001,0.0,192.33617664359997
16.86792,124.4464,381.2592,0.1865023,-0.09991068,-0.01275277,0.0,192.77627377046497
16.86644,124.3828,381.2599,0.1940308,-0.1027378,-0.01453427,0.0,193.259967310685
16.46976,123.7422,381.4616,0.1819642,-0.09886797,-0.011186449999999999,0.0,202.23882862633997
16.48602,123.773,381.4534,0.18518010000000001,-0.1006152,-0.011384149999999999,0.0,201.89645679301998
16.47762,123.7571,381.4576,0.1837918,-0.09986097,-0.0112988,0.0,202.07590869631
16.49047,123.7528,381.4511,0.1849001,-0.10002570000000001,-0.012046570000000001,0.0,202.02284639503998
16.48334,123.7439,381.4547,0.1836054,-0.09942977000000001,-0.011831989999999999,0.0,202.06470961764998
16.48081,123.7532,381.456,0.1838964,-0.09978281000000001,-0.01153988,0.0,202.091240768285
16.47729,123.7359,381.4578,0.1823811,-0.09880715000000001,-0.01169351,0.0,202.160568398085
16.86352,124.3605,381.2614,0.1961862,-0.1035079,-0.0150558,0.0,193.45488460831498
16.96745,124.4995,381.2086,0.1825011,-0.09464464,-0.01544824,0.0,191.119076773515
