x,y,z,u,v,w
25.02274,-224.9378,-181.7615,0.06467476666666666,0.14824626666666668,0.12199850000000001
24.6199,-224.1508,-182.5043,0.14716276666666667,0.3373236666666667,0.27759873333333335
24.36038,-224.2508,-182.2452,0.04294536666666667,0.09843853333333333,0.08100946666666667
26.7241,-223.9954,-183.8086,0.1434909666666667,0.3289073,0.27067253333333335
25.58941,-224.7167,-182.3307,0.2543665333333333,0.583054,0.4798213333333334
26.54817,-223.5536,-184.2522,0.023776920000000003,0.05450100000000001,0.04485133333333333
26.1633,-225.2554,-181.9803,0.1089317,0.24969116666666666,0.20548203333333334
24.41018,-224.5108,-181.9557,0.007581536666666668,0.017378256666666668,0.014301343333333334
27.03246,-224.3873,-183.496,0.12016856666666666,0.27544813333333334,0.22667859999999998
25.01647,-224.2489,-182.5953,0.23963333333333334,0.5492830000000001,0.4520296666666667
25.6788,-224.9023,-182.1525,0.20888260000000003,0.47879666666666665,0.3940233333333334
26.82725,-224.0549,-183.7911,0.1290417,0.29578693333333334,0.2434163
27.40067,-224.6159,-183.4134,0.0023322653333333336,0.0053459733333333335,0.00439944
26.05992,-223.3857,-184.1973,0.054105233333333336,0.12401903333333335,0.10206080000000001
26.69312,-225.0445,-182.5175,0.15093063333333334,0.3459603333333333,0.28470626666666665
24.75011,-224.1619,-182.5598,0.18221036666666668,0.4176593333333333,0.34371033333333334
27.01523,-223.8485,-184.1415,0.0,0.0,0.0
26.5129,-223.6327,-184.1374,0.07032893333333334,0.16120663333333335,0.13266416666666667
27.37405,-224.892,-183.0638,0.0023633266666666665,0.005417173333333333,0.004458033333333333
25.63424,-223.4961,-183.8376,0.1551017,0.35552133333333336,0.2925743
24.26149,-223.7262,-182.8302,0.028657173333333334,0.06568743333333334,0.05405713333333334
24.84004,-223.5888,-183.3039,0.14961100000000002,0.34293533333333337,0.2822169666666667
26.94388,-223.7922,-184.1721,0.0022754100000000003,0.0052156500000000005,0.004292193333333333
25.00104,-223.6441,-183.322,0.18870996666666667,0.43255733333333335,0.35597100000000004
26.01497,-224.4848,-182.838,0.30851543333333337,0.7071733333333334,0.5819646666666667
25.59008,-224.2065,-182.9509,0.3131975,0.7179053333333334,0.5907963333333334
27.24563,-225.1646,-182.6645,0.0,0.0,0.0
24.57525,-224.3394,-182.2514,0.10657876666666669,0.24429786666666667,0.20104363333333333
24.97213,-224.5941,-182.1523,0.17368033333333335,0.39810666666666666,0.3276198666666667
26.06663,-225.4341,-181.7119,0.0071285,0.016339813333333335,0.013446763333333334
24.7958,-224.153,-182.5948,0.1962085666666667,0.4497456666666667,0.3701156666666667
25.36944,-223.8913,-183.2169,0.2728704666666667,0.6254683333333333,0.514726
25.32532,-224.6386,-182.2856,0.2379351,0.5453903333333333,0.44882600000000006
24.44733,-223.4168,-183.3046,0.021618596666666667,0.049553733333333336,0.040780000000000004
25.76729,-224.0293,-183.2601,0.29897673333333336,0.6853086666666667,0.5639713333333334
26.60821,-224.1423,-183.5688,0.2079233,0.4765976666666667,0.3922136666666667
26.16149,-223.508,-184.1027,0.0959396,0.21991090000000002,0.1809745
