Points:0,Points:1,Points:2,U:0,U:1,U:2,wss,p
26.1285,-224.869,-182.3674,0.07088171,0.1632386,0.13424160000000002,0.0,393.24898102764996
26.485,-223.9005,-183.6416,0.060315200000000006,0.1421285,0.11593120000000001,0.0,391.97575244189994
26.43198,-224.0445,-183.594,0.06846916,0.1565987,0.1290026,0.0,392.196400955975
26.47459,-223.9288,-183.6315,0.0620486,0.1452931,0.1187584,0.0,392.06214533441994
26.4494,-223.9972,-183.5899,0.06657854,0.1541862,0.1265863,0.0,392.21653263308997
26.35033,-224.2664,-183.2812,0.08251024,0.1887126,0.15545730000000002,0.0,392.49170999445
26.3688,-224.2162,-183.3519,0.08013524,0.1832807,0.1509826,0.0,392.33718937341496
26.38865,-224.1622,-183.2828,0.07999174,0.1855698,0.1524115,0.0,392.32265723562995
26.15272,-224.8033,-182.524,0.07773418,0.1777891,0.1464588,0.0,393.26551300090995
26.15598,-224.7944,-182.4438,0.07524182,0.17353470000000001,0.1426076,0.0,393.39776878698996
26.18769,-224.7082,-182.658,0.08267381,0.1890867,0.1557655,0.0,393.086727709445
26.20446,-224.6627,-182.5537,0.08046062,0.1867814,0.1533022,0.0,393.29991017107994
26.16246,-224.7768,-182.5613,0.07925151999999999,0.1812595,0.1493176,0.0,393.1649879377
26.17883,-224.7323,-182.624,0.08151195,0.1864294,0.1535764,0.0,393.11299221534995
26.19973,-224.6755,-182.5513,0.0802538,0.18605,0.1527526,0.0,393.289377704245
26.1677,-224.7625,-182.5293,0.07850168,0.1804421,0.1484098,0.0,393.22924931763
26.41509,-224.0904,-183.5293,0.07213934,0.1649929,0.1359175,0.0,392.10200872155497
26.44968,-223.9965,-183.493,0.06973416,0.16318000000000002,0.1333863,0.0,391.931089449625
26.41897,-224.0799,-183.4217,0.07454387999999999,0.17312149999999998,0.1419196,0.0,392.47317818571497
26.39947,-224.1329,-183.4694,0.07521488999999999,0.1720271,0.1417122,0.0,392.14640506909996
26.38409,-224.1747,-183.4105,0.07791478,0.17820219999999998,0.146799,0.0,392.165203522565
26.41169,-224.0997,-183.393,0.07599890000000001,0.1764676,0.1446712,0.0,392.49650959958996
26.39312,-224.1501,-183.3085,0.07918042,0.1835591,0.1507822,0.0,392.260129046445
26.33618,-224.3048,-183.2269,0.08396505,0.19204000000000002,0.1581983,0.0,392.50650877696495
26.31996,-224.3489,-183.1648,0.08525842,0.1949981,0.1606351,0.0,392.60090101138496
26.33818,-224.2994,-183.1661,0.0843262,0.19406289999999998,0.1596187,0.0,392.64609729311996
26.19261,-224.6949,-182.6768,0.08324687000000001,0.1903974,0.1568452,0.0,393.06472951921995
26.21538,-224.633,-182.7641,0.08533327,0.1951693,0.1607762,0.0,393.0417980724399
26.36171,-224.2355,-183.2091,0.08280915,0.1915914,0.1572733,0.0,392.43744779189495
26.30627,-224.3861,-183.1123,0.08612433,0.19697859999999998,0.16226659999999998,0.0,392.56677048594497
